day_of_week,hour_of_day,avg_steps,avg_intensity,avg_mets
Friday,0,0.7960559796,0.04185750636,11.01323155
Friday,1,0.3811704835,0.02290076336,10.56335878
Friday,2,0.1894402036,0.01132315522,10.27519084
Friday,3,0.09045801527,0.00737913486,10.17061069
Friday,4,0.1776081425,0.00941475827,10.22201018
Friday,5,0.5669211196,0.06984732824,11.62798982
Friday,6,2.473155216,0.1127226463,12.58753181
Friday,7,4.186641221,0.1550890585,13.73066158
Friday,8,7.473155216,0.2473282443,15.41603053
Friday,9,8.079770992,0.2699745547,16.54732824
Friday,10,5.764249364,0.2086513995,14.73295165
Friday,11,6.965139949,0.2385496183,15.57938931
Friday,12,8.204834606,0.2740458015,16.36475827
Friday,13,8.132951654,0.2735368957,16.29631043
Friday,14,7.344147583,0.2638676845,15.89898219
Friday,15,5.175318066,0.2117048346,14.87951654
Friday,16,7.187022901,0.2690839695,16.58180662
Friday,17,8.457760814,0.3143765903,17.52569975
Friday,18,8.792948718,0.3147435897,17.49397436
Friday,19,8.747692308,0.3457692308,17.91512821
Friday,20,6.100384615,0.2414102564,15.75948718
Friday,21,4.321923077,0.1766666667,14.08910256
Friday,22,3.295128205,0.1453846154,13.18769231
Friday,23,1.407235142,0.07454780362,11.64560724
Monday,0,0.6053418803,0.03173076923,10.76773504
Monday,1,0.2241452991,0.01613247863,10.36132479
Monday,2,0.1381410256,0.009508547009,10.23418803
Monday,3,0.06143162393,0.005021367521,10.12361111
Monday,4,0.1901709402,0.01068376068,10.23675214
Monday,5,0.7222222222,0.1038461538,12.34358974
Monday,6,2.184722222,0.1104700855,12.4465812
Monday,7,4.488247863,0.155982906,13.82596154
Monday,8,5.942628205,0.1957264957,14.68653846
Monday,9,6.268162393,0.2227564103,15.61207265
Monday,10,7.397634409,0.2443010753,15.92634409
Monday,11,7.854623656,0.2866666667,16.57086022
Monday,12,9.350537634,0.3135483871,17.25032258
Monday,13,7.749032258,0.2612903226,16.34870968
Monday,14,6.911827957,0.2411827957,15.7283871
Monday,15,5.28516129,0.2048387097,14.79903226
Monday,16,6.317311828,0.2195698925,15.42225806
Monday,17,6.932795699,0.3184946237,17.45419355
Monday,18,8.312795699,0.3180645161,17.47
Monday,19,10.37537634,0.343655914,18.36913978
Monday,20,8.13496732,0.2873638344,16.75196078
Monday,21,2.691285403,0.1220043573,12.86514161
Monday,22,1.868859649,0.08848684211,12.01162281
Monday,23,1.379057018,0.0639254386,11.41282895
Saturday,0,0.7994855967,0.0475308642,11.07016461
Saturday,1,0.4163580247,0.02551440329,10.6100823
Saturday,2,0.2430041152,0.01697530864,10.40483539
Saturday,3,0.2007246377,0.0132505176,10.32236025
Saturday,4,0.07598343685,0.008281573499,10.20062112
Saturday,5,0.252484472,0.01314699793,10.30393375
Saturday,6,1.351345756,0.05517598344,11.33561077
Saturday,7,3.983954451,0.1592132505,13.82132505
Saturday,8,4.745031056,0.1862318841,14.44026915
Saturday,9,6.601449275,0.2389233954,15.87246377
Saturday,10,7.9465625,0.2988541667,16.89625
Saturday,11,8.82875,0.3215625,17.4228125
Saturday,12,8.859479167,0.3273958333,17.580625
Saturday,13,7.4653125,0.2761458333,16.55
Saturday,14,9.565208333,0.3235416667,18.00302083
Saturday,15,8.073958333,0.3033333333,17.07197917
Saturday,16,10.071875,0.3446875,18.32385417
Saturday,17,7.720859539,0.3012578616,16.81572327
Saturday,18,7.794129979,0.2895178197,16.6129979
Saturday,19,6.889727463,0.2710691824,16.17861635
Saturday,20,6.135010482,0.2307127883,15.4221174
Saturday,21,4.144234801,0.1725366876,13.90314465
Saturday,22,3.42327044,0.1401467505,13.29433962
Saturday,23,2.183860759,0.08639240506,12.0185654
Sunday,0,0.9585443038,0.04641350211,11.12668776
Sunday,1,0.4897679325,0.03185654008,10.68438819
Sunday,2,0.1344936709,0.01624472574,10.31909283
Sunday,3,0.09883966245,0.009810126582,10.20580169
Sunday,4,0.09628450106,0.007961783439,10.17059448
Sunday,5,0.2591295117,0.01656050955,10.33641189
Sunday,6,1.040339703,0.04161358811,10.98726115
Sunday,7,2.273142251,0.09331210191,12.03673036
Sunday,8,4.470382166,0.1736730361,14.02675159
Sunday,9,6.286093418,0.2496815287,15.85180467
Sunday,10,7.458492569,0.2709129512,16.72038217
Sunday,11,7.885031847,0.2836518047,16.74798301
Sunday,12,8.214649682,0.3031847134,16.91433121
Sunday,13,8.399363057,0.3204883227,17.27441614
Sunday,14,9.490339703,0.3337579618,17.76549894
Sunday,15,9.403311966,0.3469017094,18.15587607
Sunday,16,8.830982906,0.3199786325,17.97489316
Sunday,17,7.316559829,0.2832264957,16.64017094
Sunday,18,5.406517094,0.2353632479,15.43397436
Sunday,19,7.457905983,0.2833333333,16.51912393
Sunday,20,6.436965812,0.2365384615,15.35608974
Sunday,21,3.895619658,0.1425213675,13.41314103
Sunday,22,2.529273504,0.1048076923,12.45534188
Sunday,23,2.1125,0.07863247863,11.81047009
Thursday,0,0.4773536896,0.03473282443,10.73409669
Thursday,1,0.2342239186,0.01526717557,10.36043257
Thursday,2,0.1736641221,0.01106870229,10.23727735
Thursday,3,0.09770992366,0.007633587786,10.16513995
Thursday,4,0.1262086514,0.006870229008,10.17328244
Thursday,5,0.2726463104,0.07989821883,11.80470738
Thursday,6,2.169338422,0.1075063613,12.393257
Thursday,7,4.886005089,0.1726463104,14.1543257
Thursday,8,6.655725191,0.2342239186,15.18829517
Thursday,9,9.058396947,0.294783715,17.41310433
Thursday,10,8.394910941,0.2927480916,17.11628499
Thursday,11,6.691475827,0.2577608142,15.94351145
Thursday,12,9.445292621,0.3524173028,17.94007634
Thursday,13,7.685496183,0.2716284987,16.38982188
Thursday,14,7.605979644,0.2852417303,16.74745547
Thursday,15,5.978244275,0.234605598,15.69554707
Thursday,16,6.520737913,0.2488549618,15.99898219
Thursday,17,7.767684478,0.284351145,16.6956743
Thursday,18,7.682569975,0.28956743,17.2692112
Thursday,19,9.368320611,0.3220101781,17.67697201
Thursday,20,6.698473282,0.2572519084,15.86806616
Thursday,21,5.399618321,0.2058524173,14.76666667
Thursday,22,2.480661578,0.1220101781,12.75038168
Thursday,23,1.931933842,0.08893129771,12.11030534
Tuesday,0,0.5214912281,0.02675438596,10.65679825
Tuesday,1,0.2728070175,0.01798245614,10.43530702
Tuesday,2,0.1871710526,0.01052631579,10.25427632
Tuesday,3,0.1961368653,0.01236203091,10.2812362
Tuesday,4,0.3543046358,0.01699779249,10.38256071
Tuesday,5,0.536,0.106,12.42766667
Tuesday,6,2.517561521,0.1120805369,12.54451902
Tuesday,7,6.2138322,0.2068027211,14.78038549
Tuesday,8,6.502777778,0.2085648148,14.96064815
Tuesday,9,6.56037296,0.2215617716,15.58881119
Tuesday,10,7.964093137,0.2969362745,16.95061275
Tuesday,11,6.636237374,0.2561868687,15.86010101
Tuesday,12,9.166412214,0.3067430025,17.01526718
Tuesday,13,7.059414758,0.2389312977,15.75394402
Tuesday,14,5.835496183,0.2301526718,15.56717557
Tuesday,15,4.52913486,0.1818066158,14.38371501
Tuesday,16,5.974045802,0.2407124682,15.72913486
Tuesday,17,6.607379135,0.2782442748,16.56043257
Tuesday,18,10.65063613,0.367302799,18.74656489
Tuesday,19,8.034223919,0.3094147583,17.1413486
Tuesday,20,7.688931298,0.2784987277,16.35254453
Tuesday,21,5.842748092,0.2195928753,14.98854962
Tuesday,22,3.802544529,0.1469465649,13.42684478
Tuesday,23,1.463613232,0.0641221374,11.51335878
Wednesday,0,1.026081425,0.05229007634,11.25916031
Wednesday,1,0.3564885496,0.02328244275,10.59300254
Wednesday,2,0.1679389313,0.01221374046,10.34033079
Wednesday,3,0.09465648855,0.007506361323,10.19834606
Wednesday,4,0.1160305344,0.006488549618,10.18193384
Wednesday,5,0.4445292621,0.06603053435,11.49185751
Wednesday,6,2.517430025,0.1187022901,12.5980916
Wednesday,7,5.449745547,0.1870229008,14.25712468
Wednesday,8,7.482188295,0.2536895674,15.78256997
Wednesday,9,7.876844784,0.2946564885,16.97468193
Wednesday,10,5.829516539,0.2354961832,15.32048346
Wednesday,11,7.558015267,0.2835877863,16.39096692
Wednesday,12,7.46692112,0.2823155216,16.65381679
Wednesday,13,6.790839695,0.2489821883,15.86743003
Wednesday,14,8.059541985,0.2968193384,16.87798982
Wednesday,15,6.434351145,0.2430025445,15.83931298
Wednesday,16,6.658015267,0.2605597964,16.33091603
Wednesday,17,8.252035623,0.2955470738,17.02442748
Wednesday,18,11.08816794,0.3625954198,19.0778626
Wednesday,19,11.21310433,0.3840966921,19.18753181
Wednesday,20,5.292493639,0.2090330789,14.96717557
Wednesday,21,4.56475827,0.181043257,14.24732824
Wednesday,22,2.899491094,0.1220101781,12.76412214
Wednesday,23,1.403689567,0.07608142494,11.59427481
