Id,Date,Total Steps,Total Sleep Minutes
1503960366,3/25/2016,11004,386
1503960366,3/26/2016,17609,472
1503960366,3/27/2016,12736,506
1503960366,3/28/2016,13231,77
1503960366,3/29/2016,12041,378
1503960366,3/30/2016,10970,0
1503960366,3/31/2016,12256,336
1503960366,4/1/2016,12262,306
1503960366,4/2/2016,11248,509
1503960366,4/3/2016,10016,426
1503960366,4/4/2016,14557,337
1503960366,4/5/2016,14844,309
1503960366,4/6/2016,11974,0
1503960366,4/7/2016,10198,0
1503960366,4/8/2016,12521,0
1503960366,4/9/2016,12432,407
1503960366,4/10/2016,10057,478
1503960366,4/11/2016,10990,329
1503960366,4/12/2016,224,0
1624580081,3/25/2016,1810,0
1624580081,3/26/2016,815,0
1624580081,3/27/2016,1985,0
1624580081,3/28/2016,1905,0
1624580081,3/29/2016,1552,0
1624580081,3/30/2016,1675,0
1624580081,3/31/2016,4506,0
1624580081,4/1/2016,9218,0
1624580081,4/2/2016,1556,0
1624580081,4/3/2016,2910,0
1624580081,4/4/2016,18464,0
1624580081,4/5/2016,1335,0
1624580081,4/6/2016,1004,0
1624580081,4/7/2016,1111,0
1624580081,4/8/2016,6344,0
1624580081,4/9/2016,3572,0
1624580081,4/10/2016,3910,0
1624580081,4/11/2016,10000,0
1624580081,4/12/2016,6627,0
1644430081,4/1/2016,4636,0
1644430081,4/2/2016,20237,0
1644430081,4/3/2016,12912,0
1644430081,4/4/2016,2819,0
1644430081,4/5/2016,9921,0
1644430081,4/6/2016,8046,0
1644430081,4/7/2016,11166,0
1644430081,4/8/2016,7842,0
1644430081,4/9/2016,13840,0
1644430081,4/10/2016,1329,0
1844505072,4/1/2016,6847,0
1844505072,4/2/2016,5367,0
1844505072,4/3/2016,2841,190
1844505072,4/4/2016,0,771
1844505072,4/5/2016,0,0
1844505072,4/6/2016,7,0
1844505072,4/7/2016,6344,0
1844505072,4/8/2016,5316,0
1844505072,4/9/2016,4979,636
1844505072,4/10/2016,6556,325
1844505072,4/11/2016,5430,0
1844505072,4/12/2016,0,0
1927972279,4/1/2016,4317,383
1927972279,4/2/2016,5662,315
1927972279,4/3/2016,3198,111
1927972279,4/4/2016,2352,483
1927972279,4/5/2016,2234,420
1927972279,4/6/2016,1259,429
1927972279,4/7/2016,768,0
1927972279,4/8/2016,519,0
1927972279,4/9/2016,2523,47
1927972279,4/10/2016,2105,496
1927972279,4/11/2016,1209,525
1927972279,4/12/2016,24,498
2022484408,4/1/2016,13603,0
2022484408,4/2/2016,5477,0
2022484408,4/3/2016,11144,0
2022484408,4/4/2016,15313,0
2022484408,4/5/2016,10805,0
2022484408,4/6/2016,15392,0
2022484408,4/7/2016,18247,0
2022484408,4/8/2016,13023,0
2022484408,4/9/2016,16267,0
2022484408,4/10/2016,10005,0
2022484408,4/11/2016,10106,0
2022484408,4/12/2016,6717,0
2026352035,4/1/2016,2605,544
2026352035,4/2/2016,1229,575
2026352035,4/3/2016,2308,605
2026352035,4/4/2016,6679,533
2026352035,4/5/2016,5645,571
2026352035,4/6/2016,3180,517
2026352035,4/7/2016,2767,597
2026352035,4/8/2016,3762,548
2026352035,4/9/2016,3098,555
2026352035,4/10/2016,5142,556
2026352035,4/11/2016,3279,582
2026352035,4/12/2016,1019,354
2320127002,4/1/2016,0,0
2320127002,4/2/2016,0,0
2320127002,4/3/2016,0,0
2320127002,4/4/2016,0,0
2320127002,4/5/2016,4931,0
2320127002,4/6/2016,6999,0
2320127002,4/7/2016,1846,0
2320127002,4/8/2016,3417,0
2320127002,4/9/2016,4863,0
2320127002,4/10/2016,2277,0
2320127002,4/11/2016,11230,0
2320127002,4/12/2016,2098,0
2347167796,3/29/2016,10272,472
2347167796,3/30/2016,10533,514
2347167796,3/31/2016,6760,577
2347167796,4/1/2016,8328,391
2347167796,4/2/2016,15459,463
2347167796,4/3/2016,7485,625
2347167796,4/4/2016,10254,525
2347167796,4/5/2016,10114,448
2347167796,4/6/2016,11107,425
2347167796,4/7/2016,10320,76
2347167796,4/8/2016,10209,405
2347167796,4/9/2016,16081,21
2347167796,4/10/2016,10078,659
2347167796,4/11/2016,10001,399
2347167796,4/12/2016,0,0
2873212765,4/1/2016,890,0
2873212765,4/2/2016,2214,0
2873212765,4/3/2016,7640,0
2873212765,4/4/2016,9713,0
2873212765,4/5/2016,8432,0
2873212765,4/6/2016,7350,0
2873212765,4/7/2016,9353,0
2873212765,4/8/2016,7157,0
2873212765,4/9/2016,14103,0
2873212765,4/10/2016,5290,0
